Display,Location
"3800 Fairburn Way, Sherwoods Manor, Stockton",[-121.35632692   38.03993067]
"1800 Crestwood Circle, Valley Oak, Stockton",[-121.28789664   38.033085  ]
"700 Emerald Place, Manteca",[-121.23140518   37.80594927]
"900 Loose Horse Lane, Paso Robles",[-120.78512235   35.6387618 ]
"2500 Shandon San Juan Road, Shandon",[-120.48443593   35.57176514]
"200 Oriente Street, Bayshore Heights, Daly City",[-122.415295     37.70442836]
"300 Citrus Avenue, Daly City",[-122.46668247   37.69825588]
"0 Ridgefield Avenue, St. Francis, Daly City",[-122.48529737   37.67508353]
"2500 Crestmoor Drive, San Bruno",[-122.43387864   37.61774368]
"800 Paloma Avenue, Burlingame Terrace, Burlingame",[-122.36461978   37.58138706]
"700 South Fremont Street, North Central, San Mateo",[-122.31991478   37.56537874]
"3900 Wilshire Avenue, South San Mateo, San Mateo",[-122.30562105   37.52795495]
"1300 South Norfolk Street, Shoreview, San Mateo",[-122.30337708   37.56585246]
"1100 Polynesia Drive, Foster City",[-122.26184825   37.56155392]
"1100 Vailwood Way, South San Mateo, San Mateo",[-122.28288857   37.53170914]
"1000 Porto Marino Drive, San Carlos",[-122.2768195    37.48870333]
"500 Hartnell Place, Central Sacramento, Sacramento",[-121.41569      38.56705018]
"1000 University Avenue, Central San Jose, San Jose",[-121.9218815   37.3407632]
"200 South 14th Street, Central San Jose, San Jose",[-121.87421954   37.33871446]
"1600 E Street, Central Sacramento, Sacramento",[-121.48393533   38.58332644]
"5500 Spilman Avenue, Central Sacramento, Sacramento",[-121.43562124   38.57918818]
"6200 Sun River Drive, Southeastern Sacramento, Sacramento",[-121.41961864   38.513354  ]
"1300 43rd Avenue, Southwestern Sacramento, Sacramento",[-121.50953614   38.51203507]
"7300 Bruno Way, Bandaccari Terrace, Sacramento",[-121.419498     38.49041425]
"Jazz Alley, Central Sacramento, Sacramento",[-121.4725921   38.5742937]
"400 South Willard Avenue, Central San Jose, San Jose",[-121.92207329   37.319244  ]
"1500 Santa Maria Avenue, Central San Jose, San Jose",[-121.90948171   37.30015847]
"2700 New Jersey Avenue, Cambrian Community, San Jose",[-121.92624774   37.27340178]
"2900 Cambridge Drive, Willow Glen South - Lincoln Glen, San Jose",[-121.88671174   37.27747495]
"Begonia Lane, South San Jose, San Jose",[-121.85435973   37.27784507]
"3700 McLaughlin Avenue, South San Jose, San Jose",[-121.81640648   37.29342476]
"3200 Alessandro Drive, Evergreen, San Jose",[-121.78174463   37.3123215 ]
"1800 Loyola Drive, East San Jose, San Jose",[-121.83388933   37.3360908 ]
"1800 Platinum Court, East San Jose, San Jose",[-121.85397546   37.35836015]
"2800 Becerra Way, Del Paso Manor, Sacramento",[-121.37523345   38.615368  ]
"3600 Rio Loma Way, North Sacramento, Sacramento",[-121.492711    38.6318307]
"1700 Tourney Way, North Sacramento, Sacramento",[-121.50265611   38.62014733]
"2400 Waters Edge Way, North Sacramento, Sacramento",[-121.53314336   38.608506  ]
"400 Rafael Drive, Rancho Elverta, Elverta",[-121.44331877   38.71756455]
"3100 Q Street, North Highlands",[-121.38030474   38.69748711]
"5300 Hillsdale Boulevard, Sacramento",[-121.36869936   38.66410827]
"3200 Groveland Way, Antelope Vista, Antelope",[-121.38634462   38.72217431]
"6200 Pattypeart Way, Jamestree, Carmichael",[-121.30840918   38.63108406]
"4400 Marble Way, Barrett Hills, Carmichael",[-121.32143108   38.64203492]
"7500 Blackthorne Way, Antelope Meadows, Citrus Heights",[-121.32146815   38.70326062]
"500 Massar Avenue, East San Jose, San Jose",[-121.83422564   37.3551205 ]
"1500 Sierra Road, North San Jose, San Jose",[-121.88783765   37.3783417 ]
"2400 Greengate Drive, North San Jose, San Jose",[-121.86619173   37.3934788 ]
"2900 Capewood Lane, North San Jose, San Jose",[-121.88069      37.40977643]
"1300 Cirolero Street, Milpitas",[-121.90258667   37.451399  ]
"3400 Granada Avenue, Santa Clara",[-121.98734328   37.34824122]
"600 Hobart Terrace, Santa Clara",[-121.98438704   37.33405561]
"800 Hibiscus Lane, West San Jose, San Jose",[-121.97211344   37.31278994]
"0 South Milton Avenue, Downtown, Campbell",[-121.95584981   37.28444194]
"200 Kensington Way, Cambrian, Los Gatos",[-121.93472007   37.24019385]
"20000 Glasgow Drive, Saratoga",[-122.02215996   37.27463796]
"7600 Heatherington Way, Citrus Heights",[-121.28204493   38.68458179]
"800 Bluestone Circle, Folsom",[-121.14632229   38.66290629]
"300 Tobrurry Way, Folsom",[-121.10726965   38.65323471]
"8900 Cal Center Drive, Sacramento",[-121.37041225   38.557835  ]
"Laguna Creek Trail, Elk Grove",[-121.36445578   38.41792889]
"9000 Pebble Field Way, Sacramento",[-121.36039147   38.4597508 ]
"8200 Short Road, Sacramento",[-121.39267307   38.45960129]
"9300 Healon Way, Elk Grove",[-121.3449583   38.4023639]
"9600 Sheldon Road, Elk Grove",[-121.3402154   38.4374315]
"0 Raindrop Court, Southwestern Sacramento, Sacramento",[-121.43309433   38.44447326]
"300 3rd Street, Represa, Folsom",[-121.15527071   38.69491547]
"1100 Jacqueline Drive, Hollister",[-121.42118864   36.84793843]
"1500 Riorden Terrace, Sunnyvale West, Sunnyvale",[-122.03675212   37.34383071]
"1700 Halford Avenue, Santa Clara",[-121.99963431   37.35485592]
"200 Leota Avenue, Sunnyvale West, Sunnyvale",[-122.05087992   37.378711  ]
"1600 San Luis Avenue, Rex Manor, Mountain View",[-122.08340124   37.40553   ]
"4200 Wilkie Way, Charleston Meadow, Palo Alto",[-122.12770725   37.41676733]
"400 Addison Avenue, Professorville, Palo Alto",[-122.15582667   37.44332758]
"Monte Bello Road (Trail), Cupertino",[-122.11332815   37.30392812]
"6600 Elwood Road, South San Jose, San Jose",[-121.85637947   37.21337206]
"4800 Poston Drive, Edenvale, San Jose",[-121.82524062   37.26403887]
"8500 Culp Drive, Gilroy",[-121.59127742   37.02519895]
"900 King Street, Santa Cruz",[-122.04094482   36.96995159]
"1400 Magazine Street, Vallejo",[-122.22434177   38.08273119]
"500 Sereno Drive, Vallejo",[-122.25854905   38.12771567]
"600 Windsor Drive, Benicia",[-122.18108846   38.07990565]
"5900 Leisure Town Road, Vacaville",[-121.92398407   38.34550122]
"300 Brookdale Drive, Vacaville",[-121.96613613   38.34200481]
"100 Feather River Circle, Vacaville",[-121.97513089   38.39538107]
"800 Knight Street, Sonoma",[-122.45279787   38.28689053]
"900 Wood Lane, Petaluma",[-122.61485187   38.2385228 ]
"600 Hoen Avenue, Memorial Hospital Neighborhood, Santa Rosa",[-122.69127685   38.4437207 ]
"800 Carr Avenue, Junior College Neighborhood Association, Santa Rosa",[-122.71248628   38.45816989]
"2800 Fowler Road, Ceres",[-120.94304211   37.60315656]
"4300 Prairie Creek Way, Modesto",[-120.91155676   37.66558532]
"3700 Oxford Street, Napa",[-122.32055918   38.32284455]
"200 Sheffield Way, American Canyon",[-122.26258819   38.160271  ]
"7700 Cotton Creek Road, Hornitos",[-120.09401164   37.54588831]
"1300 Tuliptree Road, Santa Rosa",[-122.74810289   38.47985407]
"2200 Truckee Drive, Santa Rosa",[-122.75813145   38.44077523]
"Unnamed Road, Mariposa",[-120.0932642    37.42957938]
"400 Jane Drive, Windsor",[-122.81162375   38.5548665 ]
"8000 A Street, Windsor",[-122.80882572   38.54557067]
"Fort Bragg-Sherwood Road, Fort Bragg",[-123.62130667   39.45484364]
"11600 Orr Springs Road, Ukiah",[-123.37006861   39.25133554]
"Unnamed Road, Ukiah",[-123.2891354    39.11204545]
"1800 Duncan Springs Road, Hopland",[-123.18593514   38.97626573]
"6500 Cobble Drive, Winton",[-120.61870556   37.39467239]
"2200 North Buhach Road, Atwater",[-120.57896594   37.35560333]
"3300 Vernal Avenue, Merced",[-120.45959162   37.32510185]
"1000 Benito Avenue, Pacific Grove",[-121.92815011   36.60392022]
"22100 Puccioni Road, Healdsburg",[-122.97333606   38.61405286]
"300 Birdwell Street, Oakdale",[-120.86398123   37.75293803]
"2900 Creek Bend Court, Riverbank",[-120.94438539   37.72318889]
"1800 Pirates Cove, Modesto",[-120.96862136   37.68490707]
"26700 Taglio Road, Gustine",[-120.90159866   37.22024797]
"13100 South Ortigalita Road, Los Banos",[-120.86771904   37.04946761]
"400 Pueblo Drive, Salinas",[-121.66044815   36.70365038]
"200 Dennis Avenue, Salinas",[-121.615994     36.67507947]
"48400 Reliz Canyon Road, Greenfield",[-121.33232879   36.17810044]
"Huckleberry Hill Loop, Monterey",[-121.90803832   36.60472296]
"1200 Vallejo Street, Seaside",[-121.83153958   36.60462092]
"0 Mortensen Avenue, Salinas",[-121.60349209   36.66222627]
"300 Porter Street, Woodland",[-121.7909128   38.6819347]
"Unnamed Road, King City",[-120.96196817   36.25807528]
"800 Laguna Street, Napa",[-122.29192777   38.31702146]
"41300 Palo Colorado Road, Big Sur",[-121.69249448   36.26876581]
"4700 Ingram Creek Road, Patterson",[-121.26501017   37.46031707]
"700 5th Street, Turlock",[-120.84196781   37.48483913]
"1100 Live Oak Boulevard, Yuba City",[-121.62520959   39.14669724]
"1200 Gerald Court, Yuba City",[-121.6261177    39.10634895]
"Forest Route 25N01, Red Bluff",[-122.70540759   40.20562132]
"4000 Redwood Road, Napa",[-122.3749688    38.29195941]
"16200 Cooper Road, Nevada City",[-120.94396613   39.30366567]
"Old Suisun Knoxville Road, Napa",[-122.22503923   38.43725964]
"2900 Pope Canyon Road, Saint Helena",[-122.26599255   38.62693119]
"21200 Ramkem Court, Smartsville",[-121.18886315   39.21334151]
"9900 Leyenda Way, La Grange",[-120.42082608   37.81445738]
"900 Westacre Road, West Sacramento",[-121.53287047   38.57636933]
"1400 San Rafael Street, Estudillo Estates - Glen, San Leandro",[-122.14277467   37.72733833]
"Jeep Trail Usgs, Brooks",[-122.17975679   38.76088286]
"5700 Wildwood Drive, Marysville",[-121.5497378   39.1236971]
"3000 Adeline Street, Clawson, Oakland",[-122.28026054   37.82362231]
"200 Santa Rosa Avenue, Grand Lake, Oakland",[-122.24890423   37.817374  ]
"2700 Pleasant Street, School, Oakland",[-122.21555409   37.79600764]
"1000 66th Avenue, Coliseum, Oakland",[-122.19636341   37.75824959]
"2000 Francisco Street, North Berkeley, Berkeley",[-122.26950371   37.87532829]
"2500 Parker Street, Elmwood, Berkeley",[-122.260054     37.86364956]
"1400 168th Avenue, San Leandro",[-122.11153058   37.69288595]
"2600 Oliver Drive, Glen Eden, Hayward",[-122.10209329   37.62953957]
"2600 El Charro Road, Pleasanton",[-121.85474609   37.6846737 ]
"400 Oxford Way, Belmont",[-122.2730637    37.52642752]
"700 Bay Road, Staumbaugh Heller, Redwood City",[-122.21372232   37.48386624]
"Bay Trail, Menlo Park",[-122.1114118   37.4675846]
"1500 Marcia Avenue, Central San Jose, San Jose",[-121.88991088   37.284316  ]
"14200 Candler Avenue, Alum Rock, San Jose",[-121.81103333   37.35492242]
"200 Rodrigues Avenue, Milpitas",[-121.881148     37.43209227]
"600 San Miguel Avenue, Santa Clara",[-121.961754   37.338055]
"900 West Parr Avenue, San Tomas, Campbell",[-121.97021235   37.26403153]
"2500 White Avenue, Chico",[-121.84961086   39.7642435 ]
"1700 Edgewood Drive, Oakley",[-121.72928338   37.99842881]
"700 Payne Avenue, Brentwood",[-121.710345     37.90781752]
"4200 Amargosa Drive, Antioch",[-121.76812286   37.98748936]
"7800 Lilac Court, Cupertino",[-122.03831993   37.31143133]
"2200 California Street, Mountain View",[-122.10644508   37.40199554]
"1200 Chateau Drive, South San Jose, San Jose",[-121.86899665   37.21183906]
"5000 Massachusetts Drive, South San Jose, San Jose",[-121.8523936    37.26174533]
"200 El Cajon Avenue, Covell Park, Davis",[-121.75154407   38.56485129]
"7700 Lakeville Highway, Petaluma",[-122.54534532   38.21878464]
"800 Pendegast Street, Woodland",[-121.7694892   38.670386 ]
"19000 Fort Ross Road, Jenner",[-123.33638607   38.61895103]
"800 Roselawn Avenue, Modesto",[-121.00371654   37.62157469]
"2300 Arabian Way, Turlock",[-120.8795158   37.520957 ]
"Forest Route 1N01, Groveland",[-120.10622587   37.94266584]
"2100 West F Street, Napa",[-122.31316247   38.30549087]
"200 Andrew Road, American Canyon",[-122.26216516   38.17290826]
"Carriage Path, Central Sacramento, Sacramento",[-121.47597958   38.56825192]
"2400 Channing Way, Southside, Berkeley",[-122.26048345   37.86668164]
"Pitts Parkway, Point Arena",[-123.4997047   38.9439508]
"1400 Conestoga Drive, Loughborough, Merced",[-120.49595792   37.31918246]
"300 Homestead Avenue, Salinas",[-121.66435007   36.67051029]
"17400 Cachagua Road, Carmel Valley",[-121.65689616   36.39830519]
"100 Pearl Street, King City",[-121.12486442   36.21285226]
"0 Franklin Street, Napa",[-122.28960709   38.28683082]
"1300 Greenborough Drive, Cirby Ranch, Roseville",[-121.27450069   38.72329669]
"2200 22nd Avenue, Southeastern Sacramento, Sacramento",[-121.49013575   38.53281333]
"3500 52nd Avenue, Sacramento",[-121.46341164   38.503789  ]
"2300 Cottage Way, Frontier Cottages, Sacramento",[-121.40873942   38.60303867]
"4200 Dry Creek Road, North Sacramento, Sacramento",[-121.44069986   38.64292581]
"4900 Walnut Avenue, Sacramento",[-121.347604     38.65761974]
"5100 Romero Way, Greenridge Heights, Fair Oaks",[-121.28362515   38.65816262]
"Smith Lake Road, Graeagle",[-120.69106571   39.79978487]
"600 Geneva Avenue, Outer Mission, San Francisco",[-122.44282744   37.71948722]
"2200 24th Avenue, Sunset District, San Francisco",[-122.48054275   37.74688992]
"2300 Cabrillo Street, Richmond District, San Francisco",[-122.48398233   37.77465978]
"2400 Plumas Lake Street, Seaport, Stockton",[-121.30989956   37.92393913]
"300 West 6th Street, Tracy",[-121.43206636   37.73345445]
"2400 Filbert Street, McClymonds, Oakland",[-122.28154418   37.81648882]
"22400 Victory Drive, Longwood - Winton Grove, Hayward",[-122.1104745   37.661479 ]
"2000 Pine Knoll Drive, Rossmoor, Walnut Creek",[-122.0793837    37.87323841]
"0 Bernard Street, Nob Hill, San Francisco",[-122.41483527   37.79627882]
"2200 Post Street, Western Addition, San Francisco",[-122.43508543   37.78508543]
"500 Diamond Street, Noe Valley, San Francisco",[-122.43826818   37.75333945]
"0 Holiday Lane, Concord",[-121.95791529   37.96072271]
"1800 Marshall Petaluma Road, Petaluma",[-122.74332618   38.14273687]
"2700 McCloud Way, Blue Oaks, Roseville",[-121.33581924   38.80033867]
"Unnamed Road, Placer County, California, United States",[-120.78172425   39.19375874]
"10300 Alderpoint Road, Garberville",[-123.7974932    40.26883946]
"8200 Burgundy Drive, Valley Oak, Stockton",[-121.2878982   38.0250979]
"2200 Waverly Avenue, Alum Rock, San Jose",[-121.82359848   37.33198257]
"4300 Sayoko Circle, South San Jose, San Jose",[-121.83590506   37.27214118]
"1600 Dewey Street, Vallejo",[-122.27007356   38.12198887]
"200 West Benjamin Holt Drive, Lakeview, Stockton",[-121.31549318   38.01307335]
"300 Mission Ridge Drive, Manteca",[-121.22505587   37.7904198 ]
"3300 6th Avenue, Southeastern Sacramento, Sacramento",[-121.4713148    38.54887727]
"3600 South Court, Fairmeadow, Palo Alto",[-122.11882757   37.42016807]
"Unnamed Road, Downieville",[-120.75455581   39.56295802]
"Skyline Court, Vallejo",[-122.22199781   38.11823569]
"1100 Olympia Avenue, Seaside",[-121.84075636   36.611216  ]
"6300 Colby Street, Upper Telegraph, Oakland",[-122.257797     37.84751913]
"4400 Telegraph Avenue, Temescal, Oakland",[-122.26390105   37.83067705]
"1300 Santa Fe Avenue, Northwest Berkeley, Berkeley",[-122.28966385   37.88129   ]
"300 Annette Lane, Santa Clara, Hayward",[-122.10230892   37.66325692]
"4300 Fairwood Street, Grimmer, Fremont",[-121.96177123   37.51707546]
"300 Rio Lindo Avenue, Chico",[-121.86525183   39.76449148]
"1900 Railroad Avenue, Pittsburg",[-121.89520025   38.02142658]
"2700 Ascot Drive, San Ramon",[-121.950806     37.75506235]
"1600 Miner Avenue, San Pablo",[-122.34669985   37.97505545]
"700 Powell Creek Road, Redway",[-123.96561948   40.19906533]
"4100 Paige Court, Rocklin",[-121.23765922   38.78245022]
"Unnamed Road, Salinas",[-121.57601607   36.67851841]
"0 La Mesa Way, La Mesa Military Housing Complex, Monterey",[-121.87725722   36.58257311]
"3200 38th Avenue, Southeastern Sacramento, Sacramento",[-121.47067343   38.519677  ]
"7800 Tierra Glen Way, Southeastern Sacramento, Sacramento",[-121.42014837   38.50114663]
"2200 University Avenue, Central Sacramento, Sacramento",[-121.39382759   38.57165341]
"5700 Sorento Road, North Natomas, Sacramento",[-121.49199065   38.66483476]
"2600 Bravado Drive, Sunnyvale, Rancho Cordova",[-121.31767077   38.58796477]
"8800 White Peacock Court, Elk Grove",[-121.38752043   38.43166114]
"400 North Fernwood Circle, Snail, Sunnyvale",[-122.02221733   37.39115183]
"1000 Pine Street, Lower Nob Hill, San Francisco",[-122.41417629   37.79057514]
"2700 Octavia Street, Cow Hollow, San Francisco",[-122.43182507   37.79735093]
"2500 Turk Street, Richmond District, San Francisco",[-122.44748018   37.77854424]
"1200 18th Street, Potrero Hill, San Francisco",[-122.3956316   37.7627099]
"1400 40th Avenue, Sunset District, San Francisco",[-122.49948765   37.75706705]
"700 La Playa Street, Richmond District, San Francisco",[-122.50720728   37.77704333]
"500 East Weber Avenue, Civic Center, Stockton",[-121.28505771   37.9534841 ]
"4400 Amador Place, Pacific, Stockton",[-121.30906825   37.9907385 ]
"1100 West Century Boulevard, Lodi",[-121.28516754   38.10813985]
"1300 Wimbledon Court, Manteca",[-121.23895783   37.8196445 ]
"300 Dolores Way, Sunshine Gardens, South San Francisco",[-122.4349376   37.6663812]
"1200 Willowhaven Drive, Central San Jose, San Jose",[-121.92186507   37.30324329]
"2100 Canoas Garden Avenue, South San Jose, San Jose",[-121.87836377   37.29862069]
"3100 Capewood Lane, North San Jose, San Jose",[-121.86353112   37.41729275]
"2900 Cabrillo Avenue, Santa Clara",[-121.98230478   37.36062572]
"100 Whisman Station Drive, Mountain View",[-122.06004004   37.39095036]
"5900 Pala Mesa Drive, Edenvale, San Jose",[-121.81302636   37.24033218]
"800 Crinella Drive, Petaluma",[-122.60884115   38.24451362]
"1300 North Carpenter Road, Modesto",[-121.03332492   37.65676885]
"600 Perfidia Street, Modesto",[-120.9809577    37.62057152]
"1300 Via Colonna Terrace, Cottages North, Davis",[-121.7043335    38.55856621]
"Uptown Alley, Central Sacramento, Sacramento",[-121.49266845   38.56514064]
"800 Aspen Way, Palo Verde, Palo Alto",[-122.10920729   37.42621324]
"9200 Road 95, Woodland",[-121.80573012   38.79474257]
"3100 Ruskin Drive, North San Jose, San Jose",[-121.85526927   37.40277747]
"400 Northlake Drive, West San Jose, San Jose",[-121.96416213   37.31974088]
"10300 North Stelling Road, Cupertino",[-122.0445754    37.32974727]
"1300 Hartley Way, Broadstone, Folsom",[-121.13189733   38.652111  ]
"7900 Pedrick Street, Southwestern Sacramento, Sacramento",[-121.44109064   38.46911257]
"16400 Indiana Ranch Road, Dobbins",[-121.196988    39.4158671]
"1600 Maddux Drive, Woodside Plaza, Redwood City",[-122.23407369   37.45642992]
"1500 Wawona Drive, Willow Glen South - Lincoln Glen, San Jose",[-121.90627926   37.27782409]
"600 Cornell Avenue, Albany",[-122.29736146   37.89442662]
"19900 Kings Creek Road, Boulder Creek",[-122.07471056   37.16113621]
"2900 Central Avenue, Alameda",[-122.23342762   37.75927076]
"25200 Belhaven Street, Southgate, Hayward",[-122.10238025   37.647451  ]
"900 Powell Avenue, Healdsburg",[-122.85668286   38.62039226]
"48500 Timperridge Trail, Covelo",[-123.21423979   39.70436344]
"30800 Middle Ridge Road, Albion",[-123.65612375   39.15292277]
"5200 Green Sands Avenue, Atwater",[-120.58804529   37.34225886]
"400 Santa Alicia Drive, Rohnert Park",[-122.70732418   38.34191124]
"1900 Yolo Court, Santa Rosa",[-122.66949316   38.43518196]
"Doud Road, Soledad",[-121.23481926   36.3395063 ]
"White Court, Marina",[-121.7629321    36.65938162]
"700 Santa Ray Avenue, Lakeshore, Oakland",[-122.23272495   37.81210035]
"Old Sled Trail, Bolinas",[-122.59236961   37.92360066]
"900 Towse Drive, Woodland",[-121.75138464   38.66940073]
"2500 Crowell Road, Turlock",[-120.86049054   37.51589231]
"3600 Citrus Avenue, Walnut Creek",[-122.00503204   37.94310623]
"2900 Willow Road, San Pablo",[-122.33824724   37.95670312]
"100 Powers Drive, El Dorado Hills",[-121.08379062   38.67539567]
"10000 Tanabe Road, Marysville",[-121.44458855   39.27066285]
"33200 Central Avenue, Union City",[-122.04177766   37.60177641]
"4900 Hildasue Terrace, Ardenwood, Fremont",[-122.04713408   37.56521258]
"7300 Shadow Place, Dublin",[-121.9440868    37.70864947]
"19200 American Flat Road, Fiddletown",[-120.70698001   38.48626416]
"5200 West Murray Creek Road, San Andreas",[-120.5563116    38.24964946]
"Reclamation Road, Meridian",[-121.79000857   38.96901842]
"600 Sutter Street, Lower Nob Hill, San Francisco",[-122.41280456   37.78869011]
"2900 Broderick Street, Cow Hollow, San Francisco",[-122.44185067   37.79771525]
"200 Topeka Avenue, Silver Terrace, San Francisco",[-122.39613608   37.73247192]
"200 Donner Avenue, Folsom Road, Roseville",[-121.27701262   38.74616812]
"1400 32nd Avenue, Sunset District, San Francisco",[-122.4917394    37.76044233]
"3200 Anza Street, Richmond District, San Francisco",[-122.4841973   37.7786262]
"600 South Ash Street, Park, Stockton",[-121.26021672   37.95240444]
"6400 Hemet Avenue, Lakeview, Stockton",[-121.30928      38.01535708]
"6600 Mount Bachelor Court, Valley Oak, Stockton",[-121.28869245   38.01514418]
"Golden State Highway, Lodi",[-121.25239213   38.12972013]
"1400 Coolidge Avenue, Tracy",[-121.44480357   37.74407257]
"300 Mullet Court, Foster City",[-122.25185486   37.5581575 ]
"800 Kingfisher Drive, South San Jose, San Jose",[-121.87355928   37.28584591]
"2500 San Leandro Boulevard, Old San Leandro, San Leandro",[-122.14632414   37.7154875 ]
"2200 Terrena Valley Drive, East San Jose, San Jose",[-121.7886484   37.3023512]
"7600 Wilbur Way, Sacramento",[-121.39841818   38.47701845]
"4600 Birmingham Way, Pacific, Stockton",[-121.29664764   37.99817264]
"6600 Spruce Lane, Dublin",[-121.91882914   37.71153895]
"4900 Bernal Avenue, Pleasanton",[-121.88264348   37.65705848]
"4200 Cabernet Court, Pleasanton",[-121.86626865   37.6597967 ]
"4100 Fairlands Drive, Pleasanton",[-121.8651156    37.69754265]
"0 East Vineyard Avenue, Livermore",[-121.78923409   37.64975064]
"300 West Jack London Boulevard, Livermore",[-121.81450254   37.68935989]
"200 Quartz Circle, Livermore",[-121.80030053   37.66635518]
"9500 Mowry Avenue, Newark",[-122.046989     37.46087717]
"17800 Kelly Ranch Court, Pioneer",[-120.5684486    38.46554669]
"39400 South Monterey Avenue, Coalinga",[-120.366096     36.15253461]
"17000 Irish Hill Road, Ione",[-120.92170163   38.48291302]
"4600 Coal Mine Road, Ione",[-120.88047684   38.28866819]
"1100 Diablo Avenue, Chico",[-121.83694261   39.76759229]
"700 Lawn Drive, Chico",[-121.86080618   39.77795764]
"South Amador Avenue, Fresno County, California, United States",[-120.16229077   36.54218974]
"38100 West Nees Avenue, Firebaugh",[-120.47588021   36.87490119]
"7100 California 32, Orland",[-122.19810682   39.75270788]
"Catherine Court, Chico",[-121.89524346   39.76698529]
"900 Sequoyah Avenue, Chico",[-121.86498311   39.74510184]
"300 West 2nd Avenue, Chico",[-121.85067056   39.73753156]
"800 Greenwich Drive, Chico",[-121.85681895   39.73494084]
"2400 Potter Road, Chico",[-121.76742871   39.71689547]
"200 Pinyon Hills Drive, Chico",[-121.79928446   39.75026087]
"400 West 4th Street, Chico",[-121.83370769   39.7285786 ]
"Esquon Road, Durham",[-121.88213571   39.60103622]
"14100 Elmira Circle, Magalia",[-121.5998355    39.82617897]
"Paradise Memorial Trailway, Paradise",[-121.61218945   39.78637549]
"2400 Cherokee Road, Oroville",[-121.52589397   39.58617041]
"100 Valley View Drive, Oroville",[-121.52396245   39.51923922]
"400 Cottonwood Road, Oroville",[-121.61705042   39.50861007]
"5300 Ebbetts Pass Highway, Murphys",[-120.39260378   38.19355669]
"6500 Sellers Avenue, Oakley",[-121.67068243   37.99410486]
"5900 Marina Road, Discovery Bay",[-121.58391113   37.90820323]
"1300 August Way, Antioch",[-121.80030194   38.0064765 ]
"Delta de Anza Regional Trail, Antioch",[-121.83615142   37.99000475]
"800 East 3rd Street, Pittsburg",[-121.87096923   38.0385321 ]
"2200 East Leland Road, Pittsburg",[-121.92699828   38.01115746]
"Suisun Avenue, Bay Point",[-121.94716775   38.03638519]
"LDU Drive, Martinez",[-122.12751796   38.01702371]
"2800 Waterfront Road, Martinez",[-122.10420467   38.02189269]
"300 Lindsey Drive, Martinez",[-122.11239667   37.97128684]
"3100 Teigland Road, Lafayette",[-122.08989175   37.93430569]
"4400 Prairie Willow Court, Concord",[-121.98687658   37.95238481]
"1300 Cross Way, Monument Corridor, Concord",[-122.03428122   37.96747594]
"1500 Orange Street, Concord",[-122.04376329   37.948438  ]
"Briones to Mount Diablo Regional Trail, Walnut Creek",[-122.08743626   37.91242034]
"2000 San Miguel Drive, Walnut Creek",[-122.04476139   37.89409235]
"200 Tangerine Court, San Ramon",[-121.92724064   37.74027109]
"100 Sugar Creek Lane, Alamo",[-121.97226347   37.8623433 ]
"200 La Questa Drive, Danville",[-121.9864795    37.82160986]
"5300 Lawton Avenue, Shafter, Oakland",[-122.25561584   37.84097516]
"1100 Cambridge Drive, Lafayette",[-122.1324763    37.90534586]
"Shore Trail, Lafayette",[-122.13798846   37.87768752]
"6500 Horsemans Canyon Drive, Rossmoor, Walnut Creek",[-122.0687803    37.85642243]
"0 Tracy Court, Moraga",[-122.1062145    37.82398577]
"100 Pinehurst Road, Canyon",[-122.15737519   37.82828733]
"Wilder Road, Wilder, Orinda",[-122.18038356   37.85683306]
"1900 Eagle Peak Avenue, Clayton",[-121.93039118   37.95167591]
"Kestrel Loop Trail, Rodeo",[-122.22972427   38.02102176]
"Stewartville Trail, Antioch",[-121.84301689   37.93752613]
"1100 Empire Mine Road, Antioch",[-121.80207362   37.94518058]
"600 Alumrock Drive, Antioch",[-121.79466677   37.97690004]
"500 Bourne Lane, Danville",[-121.90486259   37.80530824]
"Tassajara Ridge Trail, San Ramon",[-121.8837318    37.77034773]
"Rosa Blanca Drive, Pittsburg",[-121.97535422   37.99566668]
"100 Pearl Street, Oakland Ave - Harrison St, Oakland",[-122.25768985   37.81533046]
"300 Grand Avenue, Adams Point, Oakland",[-122.25193907   37.8096424 ]
"1700 Eastshore Boulevard, El Cerrito",[-122.31653948   37.92312356]
"Upper Fire Trail, Berkeley",[-122.23043795   37.86397472]
"6100 Harwood Avenue, Rockridge, Oakland",[-122.25049376   37.84753165]
"3700 Towns Court, Pinole",[-122.25264426   37.98368477]
"2600 Humphrey Avenue, North & East, Richmond",[-122.3391085    37.94859954]
"200 Collins Street, Atchison Woods, Richmond",[-122.35956116   37.93344196]
"500 Haddon Road, Cleveland Heights, Oakland",[-122.24346424   37.80466076]
"0 Avon Road, Kensington",[-122.28488664   37.90716192]
"6300 Konocti Road, Kelseyville",[-122.74916623   38.95721253]
"100 Lakeside Drive, Downtown Oakland, Oakland",[-122.25853008   37.80488854]
"6300 Brookside Avenue, Upper Rockridge, Oakland",[-122.23874713   37.84509987]
"6700 Armour Drive, Montclair, Oakland",[-122.2009829    37.83453693]
"900 East 22nd Street, Clinton, Oakland",[-122.2434115    37.79908417]
"3600 East 8th Street, South Kennedy Tract, Oakland",[-122.2293703   37.7750141]
"200 Linus Pauling Drive, Hercules",[-122.27371638   38.02449714]
"3300 Davis Street, Peralta Hacienda, Oakland",[-122.2167501   37.787912 ]
